date,SO2,CO,PM10,NO2,O3,PM2.5
2022-03-10 13:00:00,12.32041667,432.5616667,23.22,16.77666667,37.38916667,22.26416667
2022-03-10 14:00:00,15.36047619,449.1942857,25.61809524,11.91190476,38.57095238,24.44190476
2022-03-10 15:00:00,18.75230769,429.95,20.44038462,8.856153846,37.62230769,19.71115385
2022-03-10 16:00:00,16.9692,421.7648,18.9828,9.2916,37.2644,18.3276
2022-03-10 17:00:00,15.76909091,466.0595455,29.71272727,22.43318182,31.94954545,26.54727273
2022-03-10 18:00:00,13.95869565,472.1356522,42.4226087,30.65956522,29.93608696,36.87913043
2022-03-10 19:00:00,15.35571429,447.9642857,35.49047619,30.68666667,26.87857143,31.76571429
2022-03-10 20:00:00,12.32041667,416.3266667,32.81041667,29.77083333,24.13708333,29.40958333
2022-03-10 21:00:00,11.40545455,371.7490909,19.85090909,28.33636364,20.15227273,18.83227273
2022-03-10 22:00:00,12.53551724,321.9265517,24.90241379,29.42,16.10655172,23.33344828
2022-03-10 23:00:00,12.597,330.39,27.934,27.662,16.67033333,26.11066667
2022-03-11 00:00:00,9.899565217,274.4730435,19.6626087,24.97043478,18.71956522,18.68869565
2022-03-11 01:00:00,11.336875,277.05375,21.795,25.7921875,17.96625,20.528125
2022-03-11 02:00:00,11.33625,269.5865,23.73575,24.51525,16.68075,21.9565
2022-03-11 03:00:00,12.0684,330.0168,39.7624,24.6232,17.2716,34.3644
2022-03-11 04:00:00,11.16958333,305.5933333,44.82291667,21.20375,21.12666667,37.6625
2022-03-11 05:00:00,9.824210526,280.5847368,35.13236842,20.59842105,20.80184211,31.56210526
2022-03-11 06:00:00,9.951333333,279.2966667,35.24266667,21.04533333,20.448,31.75
2022-03-11 07:00:00,12.58818182,302.805,34.14090909,19.385,18.33863636,31.05
2022-03-11 08:00:00,12.6012,296.4604,27.986,13.4772,18.6548,26.4108
2022-03-11 09:00:00,11.26,278.3753571,20.21035714,12.00035714,19.53607143,19.31964286
2022-03-11 10:00:00,12.52666667,302.0916667,19.20833333,13.71916667,20.01,18.26416667
2022-03-11 11:00:00,13.7888,338.7128,28.6524,13.4128,20.6772,27.0724
2022-03-11 12:00:00,14.652,359.9994286,28.12057143,7.698571429,25.60428571,26.56885714
2022-03-11 13:00:00,12.66958333,341.5583333,21.515,5.892083333,29.33416667,20.77333333
2022-03-11 14:00:00,12.97130435,346.5765217,17.1626087,0.086521739,30.75521739,16.33608696
2022-03-11 15:00:00,11.97111111,423.4351852,19.62666667,14.36,38.22481481,18.39888889
2022-03-11 16:00:00,17.71875,406.5479167,25.20708333,9.225,33.33916667,23.22416667
2022-03-11 17:00:00,19.23086957,472.3404348,29.15869565,18.15652174,33.80304348,26.56913043
2022-03-11 18:00:00,14.79545455,492.2459091,27.01454545,31.80045455,31.13409091,25.58318182
2022-03-11 19:00:00,16.03409091,480.3872727,43.84772727,38.39045455,22.20681818,37.44227273
2022-03-11 20:00:00,14.91391304,398.6678261,27.85826087,32.67608696,15.03869565,25.64434783
2022-03-11 21:00:00,11.16809524,310.8238095,15.84,24.78285714,20.21333333,14.76952381
2022-03-11 22:00:00,11.37846154,280.55,15.88653846,25.18923077,18.175,14.94423077
2022-03-11 23:00:00,10.08861111,258.8275,15.22472222,25.26944444,18.64833333,14.40972222
2022-03-12 00:00:00,9.88625,279.6191667,20.35583333,23.21,19.84041667,19.3225
2022-03-12 01:00:00,9.814166667,272.3945833,19.75291667,21.87333333,20.48625,18.85083333
2022-03-12 02:00:00,9.112051282,256.6958974,17.07641026,21.78410256,21.39307692,16.00102564
2022-03-12 03:00:00,9.071,267.143,20.161,22.04066667,22.56866667,19.03166667
2022-03-12 04:00:00,8.611904762,269.4666667,23.09095238,20.41190476,21.24714286,21.82666667
2022-03-12 05:00:00,9.976060606,250.0648485,20.13454545,20.27636364,20.54212121,18.91909091
2022-03-12 06:00:00,10.776875,259.051875,22.13875,20.885,19.9946875,20.8371875
2022-03-12 07:00:00,13.32115385,263.5380769,19.63576923,17.83346154,17.00076923,18.71384615
2022-03-12 08:00:00,12.10269231,235.4342308,17.68076923,10.21153846,17.13346154,16.97192308
2022-03-12 09:00:00,13.49423077,272.1642308,20.93769231,10.13653846,20.06269231,19.77384615
2022-03-12 10:00:00,13.29782609,341.0552174,31.1026087,10.41434783,23.79782609,28.75869565
2022-03-12 11:00:00,9.617272727,396.4295455,28.35772727,16.065,29.30136364,26.44818182
2022-03-12 12:00:00,7.771785714,373.2421429,10.86035714,31.0075,29.61321429,10.22964286
2022-03-12 13:00:00,8.049166667,288.54375,7.374583333,31.02666667,23.93333333,6.9475
2022-03-12 14:00:00,11.30086957,270.6443478,8.014782609,22.67086957,18.36478261,7.317391304
2022-03-12 15:00:00,11.83904762,260.437619,12.1947619,16.41047619,15.98571429,10.80761905
2022-03-12 16:00:00,13.97391304,234.5873913,9.993478261,8.785652174,13.2126087,9.368695652
2022-03-12 17:00:00,11.57863636,292.2622727,25.20818182,13.70954545,18.97181818,22.52227273
2022-03-12 18:00:00,10.85636364,326.4240909,22.81181818,23.76454545,22.17318182,21.54772727
2022-03-12 19:00:00,12.92,413.65,47.12,27.03,19.18,39.55
2022-03-12 22:00:00,9.3205,203.052,8.48,20.86,18.626,7.997
2022-03-12 23:00:00,8.438611111,198.4483333,8.845277778,19.66138889,21.59583333,8.375
2022-03-13 00:00:00,7.257142857,221.0196429,12.07035714,19.88357143,23.20964286,11.45821429
2022-03-13 01:00:00,5.8575,212.9279167,11.92625,18.03083333,24.96916667,11.20833333
2022-03-13 02:00:00,5.817631579,209.9352632,9.24,17.15026316,25.67315789,8.746052632
2022-03-13 03:00:00,5.468974359,213.0374359,10.13179487,17.52666667,26.36538462,9.615897436
2022-03-13 04:00:00,3.804782609,205.0165217,10.64347826,16.35478261,24.51869565,10.09347826
2022-03-13 05:00:00,5.0068,215.3972,15.532,19.3304,26.1964,14.554
2022-03-13 06:00:00,6.603428571,217.508,14.01142857,19.98028571,24.93057143,13.322
2022-03-13 07:00:00,13.3326087,303.326087,24.18608696,22.63565217,19.96695652,22.50652174
2022-03-13 08:00:00,18.09086957,329.1504348,34.41652174,20.10913043,15.9226087,31.14434783
2022-03-13 09:00:00,16.44666667,359.305,38.24916667,14.55291667,19.20166667,33.81416667
2022-03-13 10:00:00,15.0948,399.1696,47.5368,15.1448,25.4868,39.7928
2022-03-13 11:00:00,16.14666667,398.5870833,45.13416667,14.6075,28.16125,38.32375
2022-03-13 12:00:00,11.91380952,361.7295238,36.66095238,11.72857143,34.77761905,32.86047619
2022-03-13 13:00:00,11.61136364,367.6722727,36.03409091,7.663181818,39.75227273,32.44227273
2022-03-13 14:00:00,10.23571429,414.5290476,38.05619048,13.58285714,40.00333333,33.5352381
2022-03-13 15:00:00,9.771363636,452.9604545,38.19227273,13.48272727,44.74863636,33.68818182
2022-03-13 16:00:00,9.455217391,481.2008696,35.21869565,23.11869565,43.04304348,32.02869565
2022-03-13 17:00:00,12.5796,491.9732,38.89,29.602,34.9852,34.542
2022-03-13 18:00:00,16.17681818,525.87,47.90409091,34.26318182,26.22954545,41.25681818
2022-03-13 19:00:00,19.0255,518.7155,60.863,34.918,21.8765,52.374
2022-03-13 20:00:00,12.85782609,400.9534783,34.91217391,28.13347826,21.51434783,31.50043478
2022-03-13 21:00:00,9.065238095,330.2771429,32.20333333,27.14285714,24.34285714,29.16809524
2022-03-13 22:00:00,8.691538462,349.5219231,40.58384615,28.69884615,27.38692308,34.90653846
2022-03-13 23:00:00,7.57,314.6711429,36.66657143,25.74857143,25.65971429,32.67714286
2022-03-14 00:00:00,6.947428571,303.6368571,35.83285714,24.81485714,23.89457143,32.11
2022-03-14 01:00:00,5.427826087,288.6326087,31.56347826,23.39304348,24.48869565,29.51130435
2022-03-14 02:00:00,6.294193548,283.4509677,35.13322581,21.96193548,24.26225806,31.39677419
2022-03-14 03:00:00,7.303043478,284.1958696,37.69913043,23.53586957,23.56717391,33.24347826
2022-03-14 04:00:00,6.940666667,269.146,34.985,20.81966667,21.35433333,31.63166667
2022-03-14 05:00:00,8.3825,262.9541667,37.13166667,22.5675,18.47458333,32.96041667
2022-03-14 06:00:00,7.882285714,264.4205714,32.87428571,22.55,21.28742857,30.19542857
2022-03-14 07:00:00,9.542758621,275.9903448,28.96103448,20.09793103,19.76413793,27.30172414
2022-03-14 08:00:00,13.38043478,316.5369565,31.57086957,15.89913043,14.3073913,29.39130435
2022-03-14 09:00:00,17.845,342.495,41.04,11.055,14.21,35.465
2022-03-31 22:00:00,9.296,195.582,3334.492,23.14,14.604,3334.492
2022-03-31 23:00:00,7.3895,188.7215,3331.324,23.549,15.3845,3331.324
2022-04-01 00:00:00,6.003333333,190.9690476,3334.727143,23.59857143,17.50761905,3334.727143
2022-04-01 01:00:00,6.585789474,197.2784211,3332.183158,23.56789474,18.27473684,3332.183158
2022-04-01 02:00:00,6.80030303,217.2536364,3332.767879,23.91787879,18.95515152,3332.767879
2022-04-01 03:00:00,7.044761905,212.475,3331.985952,23.70452381,17.735,3331.985952
2022-04-01 04:00:00,7.682105263,182.3936842,3331.547105,22.74973684,15.47263158,3331.547105
2022-04-01 05:00:00,9.806551724,196.5355172,3331.38,21.77344828,16.87517241,3331.38
2022-04-01 06:00:00,11.52066667,211.5323333,3332.818333,20.47066667,17.10066667,3332.818333
2022-04-01 07:00:00,15.03025,241.93675,3331.7555,20.15925,15.429,3331.7555
2022-04-01 08:00:00,18.468,247.1725714,3332.248571,14.05857143,12.39542857,3332.248571
2022-04-01 09:00:00,18.7597561,243.1929268,3332.574146,11.03341463,11.1695122,3332.574146
2022-04-01 10:00:00,17.59029412,293.9867647,3331.222353,11.42911765,13.52029412,3331.222353
2022-04-01 11:00:00,15.39787879,346.1681818,3332.544848,13.00818182,20.90484848,3332.544848
